diff,word
A1,i
A1,horse
A1,reading
A1,aunt
A1,ever
A1,bedroom
A1,shop
A1,run
A1,decide
A1,machine
A1,september
A1,soon
A1,when
A1,bill
A1,ten
A1,part
A1,potato
A1,dictionary
A1,piano
A1,slow
A1,mouth
A1,stop
A1,year
A1,perfect
A1,star
A1,girl
A1,ocean
A1,down
A1,many
A1,pig
A1,moment
A1,difference
A1,fly
A1,bye
A1,station
A1,dish
A1,near
A1,new
A1,note
A1,wake
A1,quite
A1,monday
A1,glass
A1,class
A1,everyone
A1,lunch
A1,uncle
A1,probably
A1,end
A1,once
A1,understand
A1,tuesday
A1,space
A1,hat
A1,money
A1,july
A1,food
A1,at
A1,more
A1,plan
A1,become
A1,book
A1,must
A1,kind
A1,add
A1,thing
A1,match
A1,mistake
A1,grow
A1,happy
A1,anyone
A1,tooth
A1,give
A1,design
A1,butter
A1,flower
A1,blond
A1,black
A1,bird
A1,face
A1,why
A1,early
A1,band
A1,five
A1,six
A1,thank
A1,wall
A1,apartment
A1,pool
A1,play
A1,three
A1,even
A1,chocolate
A1,body
A1,center
A1,outside
A1,traffic
A1,before
A1,customer
A1,ago
A1,spend
A1,police
A1,repeat
A1,complete
A1,together
A1,dinner
A1,trousers
A1,cooking
A1,tell
A1,ok
A1,tomato
A1,weekend
A1,sea
A1,train
A1,music
A1,drive
A1,skill
A1,off
A1,wrong
A1,back
A1,message
A1,can
A1,singer
A1,interested
A1,light
A1,adj
A1,statement
A1,eighteen
A1,age
A1,travel
A1,afternoon
A1,teach
A1,sure
A1,photo
A1,june
A1,eight
A1,however
A1,to
A1,green
A1,umbrella
A1,leg
A1,night
A1,subject
A1,sixteen
A1,island
A1,amazing
A1,mum
A1,first
A1,people
A1,job
A1,coat
A1,cup
A1,culture
A1,practise
A1,common
A1,angry
A1,good
A1,point
A1,across
A1,extra
A1,date
A1,feel
A1,club
A1,letter
A1,game
A1,lie
A1,dear
A1,advice
A1,number
A1,photograph
A1,better
A1,through
A1,text
A1,all
A1,they
A1,modern
A1,follow
A1,child
A1,sandwich
A1,sorry
A1,dog
A1,ear
A1,its
A1,purple
A1,car
A1,much
A1,fat
A1,fire
A1,window
A1,paint
A1,cd
A1,phone
A1,so
A1,bring
A1,fact
A1,march
A1,thirty
A1,from
A1,section
A1,tomorrow
A1,lesson
A1,group
A1,learn
A1,live
A1,sunday
A1,painting
A1,young
A1,cool
A1,for
A1,him
A1,final
A1,wait
A1,tv
A1,married
A1,introduce
A1,sometimes
A1,bus
A1,strong
A1,dancing
A1,dialogue
A1,map
A1,building
A1,thousand
A1,which
A1,seven
A1,street
A1,fruit
A1,real
A1,take
A1,television
A1,too
A1,pants
A1,long
A1,check
A1,dad
A1,this
A1,brown
A1,also
A1,begin
A1,half
A1,not
A1,everybody
A1,pencil
